"Código de Ruta","Descripción de la ruta","Código recorrido ","Descripción del recorrido","Sentido","Dia","Mes","Año","Cantidad de Pasajeros Regulares","Cantidad de Adultos Mayores","Ingresos"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","5","6","2025","3576","110","2521080"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","4","6","2025","3516","157","2478780"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","3","6","2025","3655","133","2576775"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","T4470","ESTACION DEL ATLANTICO - CARTAGO","Origen – Destino","2","6","2025","3986","130","2810130"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","30","6","2025","2492","","1358140"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","27","6","2025","2318","","1263310"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","26","6","2025","2402","","1309090"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","25","6","2025","2435","","1327075"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","24","6","2025","2246","","1224070"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","23","6","2025","2309","","1258405"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","20","6","2025","2058","","1121610"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","19","6","2025","2378","","1296010"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","18","6","2025","2559","","1394655"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","17","6","2025","2467","","1344515"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","16","6","2025","2388","","1301460"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","13","6","2025","1958","","1067110"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","12","6","2025","2483","","1353235"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","11","6","2025","2416","","1316720"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","10","6","2025","2736","","1491120"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","9","6","2025","2470","","1346150"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","6","6","2025","2354","","1282930"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","5","6","2025","2325","","1267125"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","4","6","2025","2711","","1477495"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","3","6","2025","2623","","1429535"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Destino – Origen","2","6","2025","2723","","1484035"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","30","6","2025","2275","142","1239875"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","27","6","2025","2163","184","1178835"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","26","6","2025","2377","158","1295465"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","25","6","2025","2530","146","1378850"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","24","6","2025","2812","165","1532540"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","23","6","2025","2575","142","1403375"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","20","6","2025","2421","144","1319445"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","19","6","2025","2705","177","1474225"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","18","6","2025","2530","235","1378850"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","17","6","2025","2382","96","1298190"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","16","6","2025","2721","97","1482945"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","13","6","2025","2547","103","1388115"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","12","6","2025","2508","95","1366860"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","11","6","2025","2559","149","1394655"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","10","6","2025","2601","123","1417545"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","9","6","2025","2411","120","1313995"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","6","6","2025","2509","194","1367405"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","5","6","2025","2652","145","1445340"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","4","6","2025","2518","135","1372310"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","3","6","2025","2706","238","1474770"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4469","ESTACION DEL ATLANTICO – HEREDIA","Origen – Destino","2","6","2025","2677","143","1458965"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","30","6","2025","215","","129000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","27","6","2025","164","","98400"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","26","6","2025","284","","170400"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","25","6","2025","257","","154200"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","24","6","2025","207","","124200"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","23","6","2025","266","","159600"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","20","6","2025","172","","103200"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","19","6","2025","271","","162600"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","18","6","2025","230","","138000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","17","6","2025","298","","178800"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","16","6","2025","455","","273000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","13","6","2025","212","","127200"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","12","6","2025","340","","204000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","11","6","2025","249","","149400"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","10","6","2025","288","","172800"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","9","6","2025","257","","154200"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","6","6","2025","295","","177000"
"RF003","UNIVERSIDAD LATINA - HEREDIA","T4468","UNIVERSIDAD LATINA - HEREDIA","Destino – Origen","5","6","2025","359","","215400"
